id,readable,width,height,aspect_ratio,mean_intensity,file_kb
9a4f370d341b,True,2416,1736,1.392,80.86,2079.8
2b4c7b5f1f1e,True,1050,1050,1.0,71.48,820.1
4242c0d87f57,True,2588,1958,1.322,53.9,5297.5
026dcd9af143,True,3216,2136,1.506,33.88,5231.7
4b6cb0bcfd44,True,2048,1536,1.333,33.19,1793.1
eeaea2c5ff34,True,2048,1536,1.333,34.41,1797.8
289a47dcbb82,True,2048,1536,1.333,33.52,1841.9
6d9effbcde78,True,2588,1958,1.322,44.81,2403.2
883c6a184f16,True,1050,1050,1.0,63.32,951.3
57469423a012,True,2416,1736,1.392,53.31,2227.3
187f6ccda87a,True,4288,2848,1.506,53.88,5669.4
e0313be77035,True,2048,1536,1.333,44.96,1850.2
8acdf12f412a,True,1050,1050,1.0,71.69,1025.6
e966850247f4,True,1050,1050,1.0,68.71,870.7
b6a0e348a01e,True,2588,1958,1.322,71.76,4272.6
3f49f8d100e9,True,2588,1958,1.322,44.7,5157.4
e0b5a982a018,True,2416,1736,1.392,69.59,2249.9
e6a5e4718873,True,1050,1050,1.0,74.69,1009.2
b83a6eca125f,True,3216,2136,1.506,60.92,2701.4
94b9ccc73bb9,True,819,614,1.334,38.85,294.9
1509d097b69a,True,1050,1050,1.0,70.58,963.5
2ecbc2e3f239,True,3388,2588,1.309,50.7,4062.5
fd87b6b2e664,True,1050,1050,1.0,74.39,991.7
a8e08e7fe016,True,2416,1736,1.392,57.69,2405.0
33b91def2035,True,819,614,1.334,43.3,299.0
eae901557a84,True,2588,1958,1.322,46.85,3655.2
1c578b72d7b3,True,3388,2588,1.309,45.82,3607.7
f8fc411092c7,True,3216,2136,1.506,61.82,3218.4
3b5dffe159b6,True,1050,1050,1.0,81.66,1002.7
61a62b1dcc36,True,2048,1536,1.333,19.15,1727.0
4ccfa0b4e96c,True,1476,1117,1.321,79.54,1586.5
211518c46162,True,3388,2588,1.309,59.68,7099.7
5445255635f0,True,2588,1958,1.322,84.95,5628.0
48543037d0b3,True,2416,1736,1.392,67.2,2362.5
9287e57326d0,True,2048,1536,1.333,45.33,1851.2
5bda2ed09e62,True,3388,2588,1.309,45.98,6841.6
a4ee03ecff60,True,1050,1050,1.0,79.57,958.8
9f436886e056,True,1050,1050,1.0,56.86,850.4
9ad92f1c1542,True,2416,1736,1.392,68.96,2325.6
97bf61736b86,True,3216,2136,1.506,80.11,2279.2
143db89c11c8,True,1050,1050,1.0,63.36,852.3
84b472c49cfa,True,819,614,1.334,35.26,311.3
3b9c1f42c2f2,True,3216,2136,1.506,77.96,2672.5
64bad93fde3f,True,1844,1226,1.504,58.9,1109.1
d1a60c3b9fe5,True,1050,1050,1.0,88.23,801.3
78d53c82a23e,True,640,480,1.333,87.22,409.2
b2aaa81cc8f0,True,1504,1000,1.504,50.91,695.8
49a4765f8822,True,3216,2136,1.506,61.73,2938.8
5090917a2676,True,2588,1958,1.322,66.12,5345.1
ace2281f00c4,True,2048,1536,1.333,40.17,1894.7
274f5029189b,True,2416,1736,1.392,63.26,2296.0
542964865b1e,True,1050,1050,1.0,66.15,1020.5
38fe9f854046,True,2144,1424,1.506,58.07,2636.9
f252046c0fe6,True,1050,1050,1.0,90.48,1011.0
7877be80901c,True,3216,2136,1.506,49.73,5914.0
c3a82acb7d7a,True,3216,2136,1.506,57.7,3386.8
d364423ec6f9,True,3216,2136,1.506,75.0,2894.0
78b3f819dcc5,True,2588,1958,1.322,50.14,5036.6
74211a2b6dcf,True,2588,1958,1.322,48.48,5280.3
2a2274bcb00a,True,2588,1958,1.322,65.7,5526.7
4e8585a96739,True,819,614,1.334,41.93,363.5
09662e462531,True,2588,1958,1.322,92.08,5335.7
e96bd80a8a53,True,2416,1736,1.392,75.69,1670.9
94111ed3d276,True,1844,1226,1.504,52.23,749.0
aeccef0bdc26,True,1050,1050,1.0,63.26,990.2
de57c9e9fa93,True,1476,1117,1.321,79.97,2047.5
5f13e8a07344,True,640,480,1.333,77.33,307.1
45369821d6a3,True,1050,1050,1.0,79.91,974.7
6d454444f17c,True,2416,1736,1.392,76.73,1898.2
847b04287c9c,True,1050,1050,1.0,87.38,961.9
b5834ee64541,True,2416,1736,1.392,71.8,1878.5
ab653b8554c0,True,1050,1050,1.0,80.68,953.3
bf9cba745efc,True,1050,1050,1.0,66.2,911.2
cf6551521a35,True,2048,1536,1.333,38.05,1817.1
bacfb1029f6b,True,2416,1736,1.392,63.3,2208.5
51cfeccaf40d,True,3216,2136,1.506,68.86,2172.7
217dad18a5ed,True,3388,2588,1.309,48.61,7147.6
79ce83c07588,True,2416,1736,1.392,58.81,2016.3
5a0fe0ee4301,True,1050,1050,1.0,71.05,1010.4
f48241b0c995,True,2048,1536,1.333,44.1,1874.8
e2c3b037413b,True,2416,1736,1.392,65.07,2181.4
fa0c87bd75ce,True,2588,1958,1.322,38.43,5126.6
79d44db3da2d,True,4288,2848,1.506,42.14,5813.0
6fe67fd7f5d1,True,1050,1050,1.0,66.91,1070.1
4abca30b676b,True,2416,1736,1.392,87.98,2021.1
441848e0f308,True,819,614,1.334,37.91,312.9
42b08dca9b2f,True,2416,1736,1.392,51.37,2039.9
96d48b073f18,True,1844,1226,1.504,78.71,807.6
586f5c56081e,True,1050,1050,1.0,71.83,949.6
9a28d4e8aef0,True,3216,2136,1.506,92.45,2969.2
873fe0404d6e,True,4288,2848,1.506,43.59,4760.1
0eb52045349f,True,4288,2848,1.506,47.94,5175.4
a66c3165876f,True,2416,1736,1.392,52.19,1971.7
ad029ba7fa8b,True,819,614,1.334,52.77,280.9
bde1063a5dd7,True,2588,1958,1.322,79.7,5316.1
8a482c024fc2,True,1050,1050,1.0,68.12,894.4
8329e80c10ac,True,1050,1050,1.0,74.81,1134.4
a47432cd41e7,True,2416,1736,1.392,65.46,1674.3
78937523f7a8,True,819,614,1.334,39.47,326.0
2e26762daed5,True,3216,2136,1.506,62.49,2124.6
0a09aa7356c0,True,2588,1958,1.322,54.06,5113.5
f6f433f3306f,True,2588,1958,1.322,47.86,5225.3
683023cda6a5,True,819,614,1.334,53.98,287.2
10f36b0239fb,True,4288,2848,1.506,58.72,5105.3
482088e6be44,True,2048,1536,1.333,28.36,1913.9
4dd7b322f342,True,819,614,1.334,65.17,385.7
ad944bd56bb6,True,2048,1536,1.333,39.87,1872.1
10a5026eb8e6,True,2588,1958,1.322,46.63,5053.8
a0267206d51e,True,2416,1736,1.392,74.4,1895.2
0ad7f631dedb,True,2416,1736,1.392,69.57,1938.2
bf1b7e21e774,True,1844,1226,1.504,63.66,894.0
92587e494d51,True,2048,1536,1.333,35.96,1859.2
44855f666225,True,2588,1958,1.322,87.71,3702.5
a4012932e18d,True,2416,1736,1.392,71.84,2478.7
4aa3d771c5e4,True,1050,1050,1.0,71.97,1051.1
86d58f850a0c,True,819,614,1.334,49.76,394.0
6cdd0f985270,True,4288,2848,1.506,44.12,4341.0
26cd40b57ad1,True,1050,1050,1.0,66.2,1026.9
bb752b179751,True,1050,1050,1.0,73.73,1069.7
28824d12d31d,True,4288,2848,1.506,70.43,5080.1
bab776139279,True,2048,1536,1.333,40.72,1905.8
beb2ad14fd2d,True,2588,1958,1.322,48.08,4913.3
2c827005b8f8,True,1050,1050,1.0,79.45,1027.3
67f5d89da548,True,2416,1736,1.392,74.23,2168.6
75369248dba0,True,1050,1050,1.0,70.47,980.9
f3a4751af42e,True,1050,1050,1.0,62.03,900.0
18b06f56ab27,True,3388,2588,1.309,76.78,7021.2
4409965eb2a4,True,1050,1050,1.0,70.38,923.0
8785b71238d8,True,2588,1958,1.322,39.19,5078.2
12ef75375322,True,1050,1050,1.0,82.18,910.2
84b88e8d3bca,True,819,614,1.334,40.83,348.9
6cb98da77e3e,True,1504,1000,1.504,39.91,1293.1
19244004583f,True,2416,1736,1.392,70.94,2106.3
86410aa13b3e,True,1050,1050,1.0,80.44,911.9
664b1f9a2087,True,3216,2136,1.506,79.79,2647.4
1ab8d3431ffc,True,2588,1958,1.322,63.22,5517.1
28751f290ba3,True,1050,1050,1.0,91.39,1043.9
e6552b7432b3,True,1050,1050,1.0,69.51,843.5
cb0cc98d7e35,True,2416,1736,1.392,55.04,2289.3
894a37fc3738,True,2048,1536,1.333,19.2,1636.7
1601c939412f,True,1050,1050,1.0,75.64,1073.4
ed2ef440d22c,True,819,614,1.334,36.84,316.9
a0adbe677508,True,1050,1050,1.0,78.76,982.9
8714d17bb6da,True,1844,1226,1.504,40.17,778.0
b21abe5d9722,True,819,614,1.334,43.84,297.9
6c4ec95dd8ba,True,2588,1958,1.322,38.49,4944.7
05339950962e,True,1050,1050,1.0,61.62,1019.2
98441214557f,True,1050,1050,1.0,68.51,914.9
bc34ed91c9bc,True,3388,2588,1.309,56.6,6747.3
3b2b91590590,True,1050,1050,1.0,68.96,1023.9
4cde86044ad1,True,1050,1050,1.0,78.81,992.0
4dd71fc7f22b,True,640,480,1.333,80.64,348.7
b99794a0beed,True,3216,2136,1.506,96.33,2498.7
1e9224ccca95,True,3216,2136,1.506,50.72,5759.0
09237bf783a4,True,1050,1050,1.0,69.9,984.8
2f2e1949ad56,True,2416,1736,1.392,59.89,1971.0
9d75de31f1b8,True,1050,1050,1.0,76.86,952.2
2463bb04ebc3,True,3216,2136,1.506,96.75,3013.9
c3acf47700ea,True,3388,2588,1.309,53.16,7321.3
0fb560f9adb2,True,2588,1958,1.322,45.55,4910.2
6d7d26025122,True,3388,2588,1.309,59.76,7305.9
bcd503c726ba,True,2416,1736,1.392,64.22,2565.4
67844c46bc61,True,3216,2136,1.506,66.11,3078.3
246e4506824a,True,3216,2136,1.506,75.41,2353.8
42b93b574f23,True,1050,1050,1.0,70.99,815.7
d994203deb64,True,2144,1424,1.506,48.18,2535.5
29d059522fa1,True,1050,1050,1.0,70.64,1025.8
f30f203ef51e,True,3216,2136,1.506,94.83,2753.5
a06a63d866b2,True,1050,1050,1.0,69.48,749.1
4f46d7ee61ed,True,3216,2136,1.506,75.57,2873.6
d51e5d7484ea,True,1050,1050,1.0,66.88,1023.0
51d0034d177d,True,2588,1958,1.322,29.03,4767.5
0ac436400db4,True,1504,1000,1.504,40.88,1319.1
5e7db41b3bee,True,3216,2136,1.506,34.87,5343.0
96c3e3db68bc,True,3388,2588,1.309,62.08,6884.4
34723fae6475,True,2416,1736,1.392,56.86,2109.1
513b0a4651fa,True,1050,1050,1.0,64.37,942.9
e087bd4b88f2,True,2048,1536,1.333,42.64,1874.9
1623e8e3adc4,True,3216,2136,1.506,65.18,2351.3
c446985355f1,True,1050,1050,1.0,49.72,928.3
8ead17dfb6a6,True,2048,1536,1.333,37.48,1829.6
18ce0cdc473d,True,2588,1958,1.322,87.07,5405.5
ae8424cdb029,True,2588,1958,1.322,72.36,5235.3
991a0b7a8c87,True,819,614,1.334,34.77,303.7
e160a3b19911,True,819,614,1.334,34.85,307.3
2f143453bb71,True,2588,1958,1.322,57.04,5242.7
ac1667fac512,True,1050,1050,1.0,63.05,910.1
9ac2e3e9fca5,True,1050,1050,1.0,79.6,952.2
3a4cfea0a766,True,1050,1050,1.0,81.64,947.0
c18a006f7f1d,True,1050,1050,1.0,73.84,1011.0
a7c10ca6c117,True,1050,1050,1.0,68.28,988.3
5056fa7d505f,True,819,614,1.334,45.54,317.5
b70cb31b9abb,True,3216,2136,1.506,68.37,3433.0
f3a88d3026dc,True,1050,1050,1.0,66.62,896.5
e0d229db881a,True,1050,1050,1.0,66.74,933.6
a77eb914b383,True,819,614,1.334,60.82,440.6
cd314653a4d8,True,2048,1536,1.333,46.71,1864.0
d29b37d110f3,True,819,614,1.334,44.51,267.8
878a3a097436,True,3216,2136,1.506,57.33,6012.5
6194e0fff071,True,1844,1226,1.504,71.3,874.2
663a923d5398,True,2588,1958,1.322,46.02,5050.6
f0860c21533b,True,2588,1958,1.322,59.34,5257.8
b7ce561a7328,True,1050,1050,1.0,71.02,1025.5
df84e7113003,True,3216,2136,1.506,66.25,2226.3
7a12f49e29df,True,2588,1958,1.322,46.26,5087.7
9df31421cdd2,True,2588,1958,1.322,56.22,5372.0
de6210f88536,True,1050,1050,1.0,71.7,941.0
262ad704319c,True,640,480,1.333,85.29,318.4
35ac70c0d08f,True,1050,1050,1.0,63.36,1051.0
f583a722434c,True,2588,1958,1.322,33.51,4799.3
174db0854291,True,1050,1050,1.0,78.94,938.5
06024377d573,True,640,480,1.333,73.11,334.1
e4151feb8443,True,3216,2136,1.506,50.68,5893.5
a0d04a19cf40,True,3216,2136,1.506,73.71,2666.5
1e8a1fdee5b9,True,2416,1736,1.392,65.46,1674.3
d9e58e4d8689,True,2416,1736,1.392,69.82,2394.1
76df141d966b,True,2048,1536,1.333,40.81,1881.8
e2856afe62c5,True,2416,1736,1.392,77.72,1595.6
fca1a8738b8a,True,1050,1050,1.0,77.41,922.8
932181b93b2f,True,2416,1736,1.392,58.63,2190.4
6cfb7b44ef6f,True,1844,1226,1.504,66.31,850.0
6735931000ec,True,3216,2136,1.506,59.73,3203.9
686ed1dbae20,True,2144,1424,1.506,57.28,2456.7
c12e9ca420a5,True,2048,1536,1.333,39.06,1894.3
15528e740543,True,2588,1958,1.322,82.37,5535.8
2d870833c0c9,True,3388,2588,1.309,58.07,6618.5
6f689fced922,True,1050,1050,1.0,73.88,999.2
c0a0828e01b4,True,3216,2136,1.506,59.13,2804.5
5548a7961a3e,True,2588,1958,1.322,27.41,4754.4
c23ff6dcf15e,True,2048,1536,1.333,39.98,1896.0
7831ce1d895e,True,1050,1050,1.0,85.63,963.5
8000a6b97a84,True,4288,2848,1.506,46.19,4406.6
1ade1e949383,True,3216,2136,1.506,61.9,2720.3
dec5595e6154,True,1050,1050,1.0,63.73,947.5
1d55e689cf84,True,3388,2588,1.309,84.42,6753.7
1f5496352859,True,2048,1536,1.333,40.27,1901.3
b402b18d99a5,True,2416,1736,1.392,76.66,1733.7
f901d460517c,True,3388,2588,1.309,51.88,7273.5
4fef9ed8a4c5,True,3216,2136,1.506,50.74,2779.1
